iter	Logloss	Recall:use_weights=true	Recall:use_weights=false
0	0.6651248167	0.8518518519	0.8518518519
5	0.5491148175	0.8492063492	0.8492063492
10	0.4553812511	0.8492063492	0.8492063492
15	0.3775473748	0.8492063492	0.8492063492
20	0.3141014812	0.8492063492	0.8492063492
25	0.2614209286	0.8518518519	0.8518518519
30	0.2202987356	0.8492063492	0.8492063492
35	0.1870327298	0.8492063492	0.8492063492
40	0.1592584632	0.8518518519	0.8518518519
45	0.1372841036	0.8518518519	0.8518518519
50	0.118667221	0.8518518519	0.8518518519
55	0.1040154314	0.8518518519	0.8518518519
60	0.09179578683	0.8518518519	0.8518518519
65	0.08175447573	0.8518518519	0.8518518519
70	0.07360211136	0.8518518519	0.8518518519
75	0.06707737534	0.8518518519	0.8518518519
80	0.06170677023	0.8518518519	0.8518518519
85	0.05694795889	0.8518518519	0.8518518519
90	0.05285871347	0.8518518519	0.8518518519
95	0.04955980777	0.8518518519	0.8518518519
100	0.04647104818	0.8518518519	0.8518518519
105	0.044176893	0.8518518519	0.8518518519
110	0.04192300403	0.8518518519	0.8518518519
115	0.04018558659	0.8518518519	0.8518518519
120	0.03851352256	0.8544973545	0.8544973545
125	0.03715449566	0.8518518519	0.8518518519
130	0.03596343578	0.8518518519	0.8518518519
135	0.03496911928	0.8544973545	0.8544973545
140	0.03407000285	0.8518518519	0.8518518519
145	0.03323217593	0.8544973545	0.8544973545
150	0.03247893289	0.8544973545	0.8544973545
155	0.03186471901	0.8544973545	0.8544973545
160	0.03114597034	0.8544973545	0.8544973545
165	0.0306055461	0.8544973545	0.8544973545
170	0.03012038904	0.8544973545	0.8544973545
175	0.02971057844	0.8544973545	0.8544973545
180	0.0292723931	0.8544973545	0.8544973545
185	0.02884621723	0.8544973545	0.8544973545
190	0.02842801179	0.8544973545	0.8544973545
195	0.02809414801	0.8544973545	0.8544973545
200	0.02773158447	0.8544973545	0.8544973545
205	0.02739085577	0.8544973545	0.8544973545
210	0.02704796159	0.8544973545	0.8544973545
215	0.02674938716	0.8571428571	0.8571428571
220	0.02648198436	0.8571428571	0.8571428571
225	0.02625620998	0.8571428571	0.8571428571
230	0.02599457073	0.8571428571	0.8571428571
235	0.02574687456	0.8571428571	0.8571428571
240	0.02554145274	0.8571428571	0.8571428571
245	0.02534745036	0.8571428571	0.8571428571
250	0.02505111179	0.8571428571	0.8571428571
255	0.02483732825	0.8571428571	0.8571428571
260	0.02457723755	0.8571428571	0.8571428571
265	0.02440366432	0.8571428571	0.8571428571
270	0.0241747556	0.8571428571	0.8571428571
275	0.02401555606	0.8571428571	0.8571428571
280	0.02379654517	0.8571428571	0.8571428571
285	0.02360253451	0.8571428571	0.8571428571
290	0.02341861215	0.8571428571	0.8571428571
295	0.02325863834	0.8571428571	0.8571428571
300	0.02310074306	0.8571428571	0.8571428571
305	0.02293508644	0.8571428571	0.8571428571
310	0.02278914266	0.8597883598	0.8597883598
315	0.02261248477	0.8597883598	0.8597883598
320	0.02247249915	0.8597883598	0.8597883598
325	0.02230164623	0.8597883598	0.8597883598
330	0.02219090691	0.8597883598	0.8597883598
335	0.0220043098	0.8624338624	0.8624338624
340	0.0218763026	0.8650793651	0.8650793651
345	0.02174926427	0.8650793651	0.8650793651
350	0.02163787076	0.8650793651	0.8650793651
355	0.02146278626	0.8677248677	0.8677248677
360	0.02132817499	0.8677248677	0.8677248677
365	0.02121713342	0.8703703704	0.8703703704
370	0.02109979003	0.8703703704	0.8703703704
375	0.02094971198	0.8703703704	0.8703703704
380	0.02080679076	0.8703703704	0.8703703704
385	0.02068287022	0.8703703704	0.8703703704
390	0.02056941682	0.873015873	0.873015873
395	0.02041491259	0.8783068783	0.8783068783
400	0.02028030546	0.880952381	0.880952381
405	0.02014060346	0.880952381	0.880952381
410	0.02001571405	0.8835978836	0.8835978836
415	0.01989826922	0.8835978836	0.8835978836
420	0.01978841804	0.8835978836	0.8835978836
425	0.01967325255	0.8835978836	0.8835978836
430	0.01953803263	0.8835978836	0.8835978836
435	0.01943770663	0.8835978836	0.8835978836
440	0.01932774159	0.8862433862	0.8862433862
445	0.01920061632	0.8862433862	0.8862433862
450	0.01909130754	0.8862433862	0.8862433862
455	0.01897675277	0.8862433862	0.8862433862
460	0.01887658412	0.8862433862	0.8862433862
465	0.01871824787	0.8862433862	0.8862433862
470	0.01862659205	0.8862433862	0.8862433862
475	0.01849836333	0.8888888889	0.8888888889
480	0.01839946995	0.8888888889	0.8888888889
485	0.0182827849	0.8888888889	0.8888888889
490	0.01818110496	0.8915343915	0.8915343915
495	0.01806759567	0.8915343915	0.8915343915
500	0.01797196084	0.8915343915	0.8915343915
505	0.01786403499	0.8915343915	0.8915343915
510	0.01778473851	0.8941798942	0.8941798942
515	0.01767390604	0.8968253968	0.8968253968
520	0.01758620645	0.8968253968	0.8968253968
525	0.0174979127	0.8968253968	0.8968253968
530	0.01742262835	0.8968253968	0.8968253968
535	0.0173053036	0.8968253968	0.8968253968
540	0.0172118653	0.8968253968	0.8968253968
545	0.01712731248	0.8968253968	0.8968253968
550	0.01702825761	0.8968253968	0.8968253968
555	0.01693584511	0.8968253968	0.8968253968
560	0.01685505806	0.8968253968	0.8968253968
565	0.01677258687	0.8968253968	0.8968253968
570	0.01668521024	0.8968253968	0.8968253968
575	0.01655351594	0.8968253968	0.8968253968
580	0.01646352045	0.8968253968	0.8968253968
585	0.01639213437	0.8968253968	0.8968253968
590	0.01628153169	0.8968253968	0.8968253968
595	0.01621429127	0.8968253968	0.8968253968
599	0.01614922356	0.8968253968	0.8968253968
